filename,tokens,ner_tags
SinghReceipt_2024-07-24_18-40-49_34.pdf,Receipt,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Voucher,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Name:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Singh,I-CUSTOMER
SinghReceipt_2024-07-24_18-40-49_34.pdf,Electronics,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Address:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,890,B-QUANTITY
SinghReceipt_2024-07-24_18-40-49_34.pdf,Gandhi,I-CUSTOMER
SinghReceipt_2024-07-24_18-40-49_34.pdf,Nagar,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Bangalore,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Karnataka,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,560007,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,GSTIN:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,O9AAACNO189C1ZH,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,S.No:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,6335,B-QUANTITY
SinghReceipt_2024-07-24_18-40-49_34.pdf,Date,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,of,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Issue:19-04-2023,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Details,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,of,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Receiver,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,(Billed,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,to),O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Details,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,of,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Receiver,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,(Shipped,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,to),O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Name:,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Tech,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Mahindra,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Limited,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Name:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Tech,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Mahindra,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Limited,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Address:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Tech,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Mahindra,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Campus,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Electronic,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,City,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Bengaluru,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Karnataka,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Address:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Tech,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Mahindra,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Campus,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Electronic,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,City,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Bengaluru,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,Karnataka,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,State:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Karnataka,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,State:,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Karnataka,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,State,I-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,code:,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,OO,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,State,B-ADDRESS
SinghReceipt_2024-07-24_18-40-49_34.pdf,code:,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,00,B-QUANTITY
SinghReceipt_2024-07-24_18-40-49_34.pdf,GSTIN/,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,UIN,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,(if,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,registered):24PKIVX3795D1Z1,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,GSTIN/,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,UIN,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,(if,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,registered):24PKIVX3795D1Z1,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,CGST,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,SGST,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,IGST,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,No,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,peseription,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,of,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,goods/service,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,SNISAC,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,[_,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,AmountofAdvance,B-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,[Rate,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Amount,B-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Rate,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Amount,B-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Rate,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Amount,B-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,Dyson,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Supersonic,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Hair,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Dryer,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,2807,B-QUANTITY
SinghReceipt_2024-07-24_18-40-49_34.pdf,17778.00,I-PRICE
SinghReceipt_2024-07-24_18-40-49_34.pdf,1600.02,I-PRICE
SinghReceipt_2024-07-24_18-40-49_34.pdf,1600.02,I-PRICE
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,0%,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,000,B-QUANTITY
SinghReceipt_2024-07-24_18-40-49_34.pdf,|,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Total,B-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,Value,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,(in,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Rs.),B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,20978.04,I-PRICE
SinghReceipt_2024-07-24_18-40-49_34.pdf,Advance,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Amount,I-TAX
SinghReceipt_2024-07-24_18-40-49_34.pdf,received,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,subject,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,to,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,reverse,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,charge,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Yes,B-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,No,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,Signature,I-VENDOR
SinghReceipt_2024-07-24_18-40-49_34.pdf,of,O
SinghReceipt_2024-07-24_18-40-49_34.pdf,Supplier,B-VENDOR
38-D-MART PVT LTD.pdf,D-MART,B-VENDOR
38-D-MART PVT LTD.pdf,PVT,I-VENDOR
38-D-MART PVT LTD.pdf,LTD,I-VENDOR
38-D-MART PVT LTD.pdf,DATE,I-VENDOR
38-D-MART PVT LTD.pdf,07-23-24,O
38-D-MART PVT LTD.pdf,35/2867,O
38-D-MART PVT LTD.pdf,B,B-VENDOR
38-D-MART PVT LTD.pdf,&,O
38-D-MART PVT LTD.pdf,B2,B-VENDOR
38-D-MART PVT LTD.pdf,Bypass,I-VENDOR
38-D-MART PVT LTD.pdf,Road,B-ADDRESS
38-D-MART PVT LTD.pdf,Opp,I-VENDOR
38-D-MART PVT LTD.pdf,Oberon,I-VENDOR
38-D-MART PVT LTD.pdf,Mall,I-VENDOR
38-D-MART PVT LTD.pdf,Edappally,I-VENDOR
38-D-MART PVT LTD.pdf,Kochi,B-ADDRESS
38-D-MART PVT LTD.pdf,Kerala,I-ADDRESS
38-D-MART PVT LTD.pdf,682024,I-ADDRESS
38-D-MART PVT LTD.pdf,CUSTOMER,I-VENDOR
38-D-MART PVT LTD.pdf,NO,I-VENDOR
38-D-MART PVT LTD.pdf,1144,B-QUANTITY
38-D-MART PVT LTD.pdf,CLIENT,I-VENDOR
38-D-MART PVT LTD.pdf,41HHLWE12K4A1Q6,O
38-D-MART PVT LTD.pdf,SALESPERSON,B-VENDOR
38-D-MART PVT LTD.pdf,Anukul,I-VENDOR
38-D-MART PVT LTD.pdf,Roy,I-VENDOR
38-D-MART PVT LTD.pdf,Nithya,I-VENDOR
38-D-MART PVT LTD.pdf,Nair,I-CUSTOMER
38-D-MART PVT LTD.pdf,CREDIT,I-VENDOR
38-D-MART PVT LTD.pdf,CARD,I-VENDOR
38-D-MART PVT LTD.pdf,NO,I-VENDOR
38-D-MART PVT LTD.pdf,4539,B-QUANTITY
38-D-MART PVT LTD.pdf,1488,B-QUANTITY
38-D-MART PVT LTD.pdf,0343,B-QUANTITY
38-D-MART PVT LTD.pdf,6467,B-QUANTITY
38-D-MART PVT LTD.pdf,Orchid,I-VENDOR
38-D-MART PVT LTD.pdf,Villa,I-VENDOR
38-D-MART PVT LTD.pdf,56/78,O
38-D-MART PVT LTD.pdf,Kalpetta,B-VENDOR
38-D-MART PVT LTD.pdf,Wayanad,I-VENDOR
38-D-MART PVT LTD.pdf,Kerala,B-ADDRESS
38-D-MART PVT LTD.pdf,673121,I-ADDRESS
38-D-MART PVT LTD.pdf,abe,O
38-D-MART PVT LTD.pdf,DESCRIPTION,B-VENDOR
38-D-MART PVT LTD.pdf,OTE,I-VENDOR
38-D-MART PVT LTD.pdf,QTY,I-VENDOR
38-D-MART PVT LTD.pdf,UNIT,I-VENDOR
38-D-MART PVT LTD.pdf,PRICE,I-VENDOR
38-D-MART PVT LTD.pdf,TOTAL,I-TAX
38-D-MART PVT LTD.pdf,5682,B-QUANTITY
38-D-MART PVT LTD.pdf,Nescafé,I-VENDOR
38-D-MART PVT LTD.pdf,Coffee,I-VENDOR
38-D-MART PVT LTD.pdf,200g,O
38-D-MART PVT LTD.pdf,200g,O
38-D-MART PVT LTD.pdf,z,O
38-D-MART PVT LTD.pdf,150.00,B-PRICE
38-D-MART PVT LTD.pdf,z,O
38-D-MART PVT LTD.pdf,300.00,B-PRICE
38-D-MART PVT LTD.pdf,9138,B-QUANTITY
38-D-MART PVT LTD.pdf,Ching’s,I-VENDOR
38-D-MART PVT LTD.pdf,Schezwan,I-VENDOR
38-D-MART PVT LTD.pdf,Sauce,I-VENDOR
38-D-MART PVT LTD.pdf,250g,O
38-D-MART PVT LTD.pdf,—«|250g,O
38-D-MART PVT LTD.pdf,z,O
38-D-MART PVT LTD.pdf,80.00,B-PRICE
38-D-MART PVT LTD.pdf,z,O
38-D-MART PVT LTD.pdf,400.00,B-PRICE
38-D-MART PVT LTD.pdf,Remarks,I-VENDOR
38-D-MART PVT LTD.pdf,/,O
38-D-MART PVT LTD.pdf,Instructions:,B-VENDOR
38-D-MART PVT LTD.pdf,SUBTOTAL,I-TAX
38-D-MART PVT LTD.pdf,=,O
38-D-MART PVT LTD.pdf,700.00,B-PRICE
38-D-MART PVT LTD.pdf,DISCOUNT,I-VENDOR
38-D-MART PVT LTD.pdf,(10%),O
38-D-MART PVT LTD.pdf,=,O
38-D-MART PVT LTD.pdf,70.00,B-PRICE
38-D-MART PVT LTD.pdf,GST,O
38-D-MART PVT LTD.pdf,(18%),O
38-D-MART PVT LTD.pdf,=,O
38-D-MART PVT LTD.pdf,113.40,B-PRICE
38-D-MART PVT LTD.pdf,Please,I-VENDOR
38-D-MART PVT LTD.pdf,make,O
38-D-MART PVT LTD.pdf,check,O
38-D-MART PVT LTD.pdf,payable,O
38-D-MART PVT LTD.pdf,to,O
38-D-MART PVT LTD.pdf,Your,B-VENDOR
38-D-MART PVT LTD.pdf,Company,I-VENDOR
38-D-MART PVT LTD.pdf,Name,I-VENDOR
38-D-MART PVT LTD.pdf,TOTAL,I-TAX
38-D-MART PVT LTD.pdf,=,O
38-D-MART PVT LTD.pdf,656.60,B-PRICE
38-D-MART PVT LTD.pdf,THANK,I-VENDOR
38-D-MART PVT LTD.pdf,YOU,I-VENDOR
38-D-MART PVT LTD.pdf,casH,O
38-D-MART PVT LTD.pdf,[_,O
38-D-MART PVT LTD.pdf,|,O
38-D-MART PVT LTD.pdf,CREDITCARD,B-VENDOR
38-D-MART PVT LTD.pdf,[_],O
38-D-MART PVT LTD.pdf,MONEYORDER,B-VENDOR
38-D-MART PVT LTD.pdf,[_],O
38-D-MART PVT LTD.pdf,For,B-VENDOR
38-D-MART PVT LTD.pdf,questions,O
38-D-MART PVT LTD.pdf,concerning,O
38-D-MART PVT LTD.pdf,this,O
38-D-MART PVT LTD.pdf,receipt,O
38-D-MART PVT LTD.pdf,please,O
38-D-MART PVT LTD.pdf,contact,O
38-D-MART PVT LTD.pdf,Name,B-VENDOR
38-D-MART PVT LTD.pdf,(321),O
38-D-MART PVT LTD.pdf,456-7890,O
38-D-MART PVT LTD.pdf,Email,O
38-D-MART PVT LTD.pdf,Address,B-VENDOR
38-D-MART PVT LTD.pdf,eae,O
38-D-MART PVT LTD.pdf,SALES,B-VENDOR
38-D-MART PVT LTD.pdf,RECEIPT,I-VENDOR
38-D-MART PVT LTD.pdf,Nithya,I-VENDOR
38-D-MART PVT LTD.pdf,Nair,I-CUSTOMER
38-D-MART PVT LTD.pdf,DATE,I-VENDOR
38-D-MART PVT LTD.pdf,07-23-24,O
38-D-MART PVT LTD.pdf,Orchid,B-VENDOR
38-D-MART PVT LTD.pdf,Villa,I-VENDOR
38-D-MART PVT LTD.pdf,56/78,O
38-D-MART PVT LTD.pdf,Kalpetta,B-VENDOR
38-D-MART PVT LTD.pdf,Wayanad,I-VENDOR
38-D-MART PVT LTD.pdf,Kerala,B-ADDRESS
38-D-MART PVT LTD.pdf,673121,I-ADDRESS
38-D-MART PVT LTD.pdf,+91,O
38-D-MART PVT LTD.pdf,95432,B-QUANTITY
38-D-MART PVT LTD.pdf,10987,B-QUANTITY
38-D-MART PVT LTD.pdf,AMOUNT,I-TAX
38-D-MART PVT LTD.pdf,PAID,I-VENDOR
38-D-MART PVT LTD.pdf,=,O
38-D-MART PVT LTD.pdf,656.60,B-PRICE
38-D-MART PVT LTD.pdf,D-MART,I-VENDOR
38-D-MART PVT LTD.pdf,PVT,I-VENDOR
38-D-MART PVT LTD.pdf,LTD,I-VENDOR
38-D-MART PVT LTD.pdf,35/2867,O
38-D-MART PVT LTD.pdf,B,B-VENDOR
38-D-MART PVT LTD.pdf,&,O
38-D-MART PVT LTD.pdf,B2,B-VENDOR
38-D-MART PVT LTD.pdf,Bypass,I-VENDOR
38-D-MART PVT LTD.pdf,Road,B-ADDRESS
38-D-MART PVT LTD.pdf,Opp,I-VENDOR
38-D-MART PVT LTD.pdf,Oberon,I-VENDOR
38-D-MART PVT LTD.pdf,Mall,I-VENDOR
38-D-MART PVT LTD.pdf,41HHLWE12K4A1Q6,O
38-D-MART PVT LTD.pdf,Edappally,B-VENDOR
38-D-MART PVT LTD.pdf,Kochi,B-ADDRESS
38-D-MART PVT LTD.pdf,Kerala,I-ADDRESS
38-D-MART PVT LTD.pdf,682024,I-ADDRESS
